v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-val,rouge-2-val,rouge-l-val,mean-val,rouge-1-test,rouge-2-test,rouge-l-test,mean-test,time_taken
-,-,-,-,-,-,Random_seed-1848,0.21480276148198052,0.07063584393913558,0.1583840231183793,0.14794087617983182,0.18411758561826205,0.050536601565816984,0.13206576167316092,0.12223998295241331,0.23047890444428273,0.0883970032666951,0.17248585491900792,0.16378725420999526,0.2525
-,-,-,-,-,-,Lead-3,0.3520202794740257,0.1388361394702622,0.2471986628128784,0.2460183605857221,0.38305051542110163,0.16623871509581906,0.28322086599979596,0.2775033655055722,0.3756589281967815,0.16682087134667586,0.27711133943237204,0.2731970463252764,0.2975
-,-,-,-,-,-,GreedyOracle-mean,0.5948438649092638,0.2868334478174727,0.4407314173735399,0.44080291003342553,0.6168930438776031,0.3284497969725275,0.47580842369154763,0.4737170881805594,0.625820231139877,0.3206370276212268,0.47967282136981815,0.4753766933769739,21.8896
0,0.275,1000,5000,500,False,False,0.3803436712761996,0.15584074584860347,0.27817529706109595,0.2714532380619663,0.32707418638166524,0.13215896416758835,0.24516877854374336,0.234800643030999,0.3443252332129246,0.14517770282740836,0.25716264662261434,0.2488885275543157,237.7501
