v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test,time_taken
0.45,0.15,500,2000,500,False,True,0.363357835608,0.145725542845,0.263562029731,0.257548469395,0.402899355627,0.17066053621,0.285227981685,0.286262624507,284.5929
0.45,0.15,750,2000,500,True,True,0.332770380294,0.13067595392,0.23921753417,0.234221289461,0.353386920195,0.143287634931,0.261236224707,0.252636926611,278.2813
0.45,0.15,750,2000,500,False,True,0.361565135927,0.145845927916,0.264070683732,0.257160582525,0.407774268842,0.167609793056,0.293584577566,0.289656213155,330.0788
0.45,0.2,250,2000,500,True,True,0.345244784791,0.134465435771,0.25382056738,0.244510262647,0.374930018565,0.152657160622,0.258946524636,0.262177901274,206.4217
0.45,0.2,250,2000,500,False,True,0.360466424344,0.14574256742,0.26210799673,0.256105662832,0.395288529073,0.163165644229,0.279518251656,0.279324141653,235.2165
0.1,0.4,250,2000,500,True,True,0.348050649063,0.136382123806,0.256641415224,0.247024729364,0.392510578407,0.163635241681,0.270169916059,0.275438578716,221.3901
0.1,0.4,250,2000,500,False,True,0.359949666385,0.143045818865,0.26372575272,0.25557374599,0.402841439126,0.166353748011,0.283568174851,0.284254453996,225.4119
0.1,0.4,500,2000,500,True,True,0.361388810339,0.143208501533,0.260104705075,0.254900672316,0.405212501397,0.173459778635,0.286354993618,0.28834242455,232.1896
0.1,0.4,500,2000,500,False,True,0.363744924753,0.14604268161,0.262914570149,0.257567392171,0.405390279175,0.171428362992,0.28555727282,0.287458638329,307.6350
0.1,0.4,750,2000,500,True,True,0.361389396494,0.146646252673,0.264078036518,0.257371228562,0.395179828479,0.163801498339,0.283354538898,0.280778621905,292.3178
0.1,0.4,750,2000,500,False,True,0.36366075552,0.147912521603,0.265037942115,0.258870406413,0.406253633922,0.168865839241,0.290177170159,0.28843221444,307.6096
0.1,0.45,250,2000,500,True,True,0.351751280945,0.138350228116,0.252927521113,0.247676343392,0.401967080495,0.171573351337,0.285615235555,0.286385222462,211.2132
0.1,0.45,250,2000,500,False,True,0.354178846405,0.139156139419,0.257474149276,0.2502697117,0.406179405246,0.173895029658,0.288454175917,0.289509536941,226.0164
0.1,0.45,500,2000,500,True,True,0.368536589892,0.149326177985,0.265962861716,0.261275209865,0.4015982634,0.164625863595,0.283868968205,0.283364365067,250.9097
0.1,0.45,500,2000,500,False,True,0.358021138325,0.142425368584,0.259468369968,0.253304958959,0.400957786729,0.16503553621,0.284560494,0.28351793898,301.3669
0.2,0.1,250,2000,500,True,True,0.34648693369,0.134567205924,0.251951526421,0.244335222012,0.361342450183,0.143133258677,0.256638029583,0.253704579481,195.0668
0.2,0.1,250,2000,500,False,True,0.354264093999,0.141086373322,0.254853214261,0.25006789386,0.408065255789,0.174996215346,0.285065449828,0.289375640321,200.4602
0.2,0.1,500,2000,500,True,True,0.343098100743,0.135129125078,0.245694744857,0.241307323559,0.365376189285,0.152636959631,0.271268432984,0.263093860633,225.8747
0.2,0.1,500,2000,500,False,True,0.360711734458,0.144526847465,0.264784094027,0.256674225317,0.408086197333,0.174189096539,0.289608800704,0.290628031525,248.0461
0.2,0.1,750,2000,500,True,True,0.369694844758,0.150464184752,0.269973329041,0.26337745285,0.379984632635,0.154675956483,0.271056094739,0.268572227952,262.8921
0.2,0.1,750,2000,500,False,True,0.362293674985,0.147179060628,0.264764958054,0.258079231223,0.397844223083,0.168570067539,0.283621236985,0.283345175869,310.2120
0.2,0.15,250,2000,500,True,True,0.354020278189,0.138695429929,0.256912378569,0.249876028896,0.411462128781,0.17418755402,0.289330630345,0.291660104382,189.4945
0.2,0.15,250,2000,500,False,True,0.363522047072,0.145649807574,0.26539167276,0.258187842469,0.398978902933,0.167920794471,0.280774974236,0.28255822388,212.5370
0.2,0.15,500,2000,500,True,True,0.358463779719,0.143055863308,0.25775611175,0.253091918259,0.397719853109,0.16622730479,0.280619762583,0.281522306827,232.8780
0.2,0.15,500,2000,500,False,True,0.363258411673,0.147549436849,0.264290078415,0.258365975646,0.411431147629,0.173406508756,0.290980560317,0.291939405568,262.4496
0.0,0.35,750,2000,500,True,True,0.352053041383,0.141310945408,0.254344219047,0.249236068613,0.382020291653,0.161177960735,0.277847812526,0.273682021638,266.6069
0.0,0.35,750,2000,500,False,True,0.362533174822,0.146315003609,0.264443639356,0.257763939263,0.402390406888,0.166980867731,0.285095400077,0.284822224899,305.5198
0.0,0.4,250,2000,500,True,True,0.352185664502,0.137990921727,0.254146886289,0.248107824173,0.398642641589,0.173083308046,0.28494649506,0.285557481565,207.6046
