v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test,time_taken
0.2,0.225,1000,5000,500,True,True,0.357042018078,0.14242051151,0.257757707663,0.252406745751,0.395895374288,0.162698289542,0.281610570092,0.280068077974,337.5386
0.2,0.225,1000,5000,500,False,True,0.357418014307,0.1445788442,0.260629977654,0.254208945387,0.396472228718,0.165924095994,0.278497053979,0.280297792897,375.1727
0.25,0.2,100,5000,500,True,True,0.356794777953,0.141944327346,0.257352889187,0.252030664828,0.379698882591,0.158645301803,0.267341080679,0.268561755024,181.6419
0.25,0.2,100,5000,500,False,True,0.356257172988,0.142813926639,0.258233391688,0.252434830438,0.385393050159,0.157541405699,0.264865711221,0.26926672236,205.9718
0.25,0.2,1000,5000,500,True,True,0.355502980039,0.140811452483,0.25756685327,0.251293761931,0.355123582988,0.144600044336,0.257796962069,0.252506863131,355.4905
0.25,0.2,1000,5000,500,False,True,0.353963882781,0.141440707916,0.255957173357,0.250453921352,0.385229937165,0.164628228433,0.274067733243,0.27464196628,398.0902
0.25,0.225,100,5000,500,True,True,0.360006156675,0.143062060131,0.259888217966,0.254318811591,0.380344668116,0.152914813609,0.261826495534,0.265028659087,201.8815
0.25,0.225,100,5000,500,False,True,0.359744825886,0.141219730269,0.258329588691,0.253098048282,0.382920920839,0.154578442736,0.265818092173,0.26777248525,209.5292
0.25,0.225,1000,5000,500,True,True,0.354152213102,0.141127586038,0.253228857409,0.249502885517,0.35697543484,0.145890240415,0.257444456623,0.253436710626,349.8673
0.25,0.225,1000,5000,500,False,True,0.366994131593,0.146507453713,0.265640763501,0.259714116269,0.400193372599,0.164129461927,0.281163896496,0.281828910341,420.7761
0.25,0.25,100,5000,500,True,True,0.353519384847,0.137623251438,0.253902679875,0.24834843872,0.376154363642,0.15323164139,0.261272217049,0.263552740693,189.4155
0.25,0.25,100,5000,500,False,True,0.357267524389,0.14163357483,0.258387030537,0.252429376585,0.379635234622,0.15397238213,0.263602055759,0.265736557504,209.1452
0.05,0.175,1000,5000,500,True,True,0.353787334908,0.140814316555,0.254584615369,0.249728755611,0.354541572406,0.143485819865,0.250107161773,0.249378184681,354.6396
