v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test,time_taken
0.2,0.2,250,2000,500,False,True,0.35696883885,0.143700947467,0.2614653605,0.254045048939,0.398698581983,0.167556400531,0.279551055889,0.281935346134,215.4097
0.2,0.2,250,2000,500,False,False,0.322468820305,0.120262544109,0.231325577895,0.224685647437,0.367900520829,0.146908968318,0.265575830358,0.260128439835,221.7958
0.2,0.2,250,4000,500,True,True,0.354886622961,0.140451344277,0.255972768664,0.250436911967,0.375830756927,0.156049426382,0.26923847549,0.267039552933,210.3695
0.2,0.2,250,4000,500,True,False,0.35110899307,0.134368022395,0.253015060419,0.246164025295,0.355194344726,0.134012079668,0.25356134714,0.247589257178,206.7393
0.2,0.2,250,4000,500,False,True,0.355126601326,0.140608912184,0.259232083487,0.251655865666,0.400566660642,0.169804120567,0.282132743589,0.284167841599,218.4801
0.2,0.2,250,4000,500,False,False,0.359983415381,0.146024867584,0.263430416316,0.256479566427,0.378129364257,0.162136932346,0.277703468764,0.272656588456,229.4736
0.2,0.2,500,2000,500,True,True,0.356115833774,0.144688903442,0.258581846658,0.253128861291,0.370087846564,0.149314275378,0.263065995464,0.260822705802,217.0769
0.2,0.2,500,2000,500,True,False,0.343330191395,0.136179508998,0.236964985432,0.238824895275,0.33577558885,0.135553175463,0.240024032654,0.237117598989,222.8112
0.2,0.2,500,2000,500,False,True,0.3638959613,0.147832327771,0.26511444439,0.25894757782,0.39052194463,0.162967951137,0.281883455782,0.27845778385,252.1383
0.2,0.2,500,2000,500,False,False,0.325548031981,0.126539372293,0.229774601112,0.227287335129,0.289790192966,0.1129131785,0.210320443471,0.204341271646,238.4700
0.5,0.1,250,2000,500,True,True,0.357912038377,0.142516268121,0.261779418181,0.25406924156,0.396073185157,0.165632310895,0.280258488241,0.280654661431,218.6517
0.5,0.1,250,2000,500,True,False,0.362221079663,0.143885329712,0.25274524916,0.252950552845,0.393040305753,0.156710476763,0.280944402859,0.276898395125,216.2668
