v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test
0.3,0.1,100,2000,500,True,True,0.357397823031,0.142420651625,0.259581577651,0.253133350769,0.376232904887,0.154085484605,0.262334192518,0.264217527337
0.3,0.1,100,2000,500,True,False,0.345674453429,0.134010110481,0.249661387587,0.243115317166,0.345222555071,0.14011953717,0.246711991157,0.244018027799
0.3,0.1,100,2000,500,False,True,0.353539496044,0.141966761305,0.258259434313,0.251255230554,0.373641705334,0.155231612551,0.258257529415,0.2623769491
0.3,0.1,100,2000,500,False,False,0.334395482584,0.129972676919,0.238502730943,0.234290296815,0.345452474229,0.139461484746,0.243008058448,0.242640672474
0.3,0.1,100,2000,1000,True,True,0.355709765648,0.14218289418,0.259643483748,0.252512047859,0.370202117047,0.151476498384,0.257846838538,0.25984181799
0.3,0.1,100,2000,1000,True,False,0.34454253898,0.135117760275,0.243324706174,0.24099500181,0.360471766626,0.149420801258,0.258657838854,0.256183468913
0.3,0.1,100,2000,1000,False,True,0.358374901748,0.144186862898,0.26126213329,0.254607965979,0.370292145537,0.152217239125,0.258561124252,0.260356836305
0.3,0.1,100,2000,1000,False,False,0.345233785167,0.132881915751,0.244258116884,0.240791272601,0.355784978557,0.151453790328,0.259509315769,0.255582694884
0.3,0.1,100,2000,1500,True,True,0.357444167779,0.145352941232,0.261899149508,0.25489875284,0.377075603381,0.152755959664,0.261700006067,0.263843856371
0.3,0.1,100,2000,1500,True,False,0.347532466434,0.133946000262,0.24722303032,0.242900499005,0.37268311492,0.153023494861,0.268833412718,0.264846674166
0.3,0.1,100,2000,1500,False,True,0.357800026573,0.143845722726,0.25949680994,0.253714186413,0.380372142169,0.157969467289,0.264442971435,0.267594860298
0.3,0.1,100,2000,1500,False,False,0.354783089501,0.139709260395,0.250781719391,0.248424689762,0.38646952489,0.166953005016,0.279839072035,0.277753867314
0.3,0.1,100,2000,2000,True,True,0.352297010935,0.140600027034,0.257114418439,0.250003818803,0.380180675021,0.15415172686,0.259794539824,0.264708980568
0.3,0.1,100,2000,2000,True,False,0.345546736977,0.131970280498,0.244036705806,0.24051790776,0.375093824062,0.150744812627,0.27015376707,0.265330801253
0.3,0.1,100,2000,2000,False,True,0.354140007427,0.139472203953,0.25640622741,0.250006146263,0.383819671248,0.161717808731,0.267512575522,0.271016685167
0.3,0.1,100,2000,2000,False,False,0.345844453956,0.134463602234,0.248102583523,0.242803546571,0.389094523827,0.15856582152,0.274988212293,0.27421618588
0.3,0.1,100,2000,2500,True,True,0.360126778797,0.144746227519,0.262399910498,0.255757638938,0.371496588859,0.152190784099,0.258196284049,0.260627885669
