v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test
0.7,0.1,100,2000,500,True,True,0.355150470431,0.14194672858,0.257371421003,0.251489540005,0.372990756525,0.154107104311,0.259876275596,0.262324712144
0.7,0.1,100,2000,500,True,False,0.327854960769,0.126405983843,0.231218750207,0.228493231606,0.333589647132,0.132678373608,0.230021823136,0.232096614625
0.7,0.1,100,2000,500,False,True,0.347548122328,0.137083509299,0.25087369917,0.245168443599,0.376772180426,0.157849794369,0.261572250859,0.265398075218
0.7,0.1,100,2000,500,False,False,0.341571922298,0.132465500048,0.245715761924,0.23991772809,0.355476927504,0.147357515041,0.257751805928,0.253528749491
0.7,0.1,100,2000,1000,True,True,0.359180179219,0.144010274246,0.260553006831,0.254581153432,0.376133055973,0.150507282415,0.259973554358,0.262204630915
0.7,0.1,100,2000,1000,True,False,0.353117944819,0.137831513792,0.252426982521,0.247792147044,0.384990712532,0.164246744038,0.269481254143,0.272906236904
0.7,0.1,100,2000,1000,False,True,0.355615729607,0.141684973895,0.25868038176,0.251993695087,0.387679845556,0.164142051155,0.271465704444,0.274429200385
0.7,0.1,100,2000,1000,False,False,0.355758833121,0.140509469474,0.252132062934,0.249466788509,0.390632086466,0.167559065622,0.283469903678,0.280553685255
0.7,0.1,100,2000,1500,True,True,0.35587404351,0.144090768303,0.259629165103,0.253197992305,0.375278355118,0.151683753003,0.259232813617,0.262064973913
0.7,0.1,100,2000,1500,True,False,0.353096755003,0.139613936573,0.249437755256,0.24738281561,0.389228145579,0.167559065622,0.281603777917,0.27946366304
0.7,0.1,100,2000,1500,False,True,0.354749551396,0.139258610924,0.257068004897,0.250358722406,0.38354186683,0.159931524839,0.269231257439,0.270901549703
0.7,0.1,100,2000,1500,False,False,0.35292381049,0.139009947943,0.250081168965,0.247338309133,0.379720042488,0.159953005016,0.273053357749,0.270908801751
0.7,0.1,100,2000,2000,True,True,0.35684457194,0.141391140889,0.257865610265,0.252033774365,0.388736059208,0.161717808731,0.271378316263,0.273944061401
0.7,0.1,100,2000,2000,True,False,0.356105071457,0.140552141728,0.250272628611,0.248976613932,0.397417800752,0.174584065622,0.285516151394,0.285839339256
