v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test
0.5,0.1,100,2000,500,True,True,0.356545997497,0.142736405759,0.257583556218,0.252288653158,0.378687389468,0.157722840621,0.261091684369,0.265833971486
0.5,0.1,100,2000,500,True,False,0.33214643007,0.131400726755,0.235165585132,0.232904247319,0.344599427658,0.138798157024,0.239101009646,0.240832864776
0.5,0.1,100,2000,500,False,True,0.356148384675,0.142353221886,0.259216217446,0.252572608002,0.382731965037,0.155466436986,0.26628171591,0.268160039311
0.5,0.1,100,2000,500,False,False,0.354410512442,0.140582840635,0.252713538974,0.249235630684,0.383028216296,0.155966445766,0.26667165635,0.268555439471
0.5,0.1,100,2000,1000,True,True,0.355716044679,0.142990118632,0.259934690201,0.252880284504,0.378802275059,0.155180202088,0.265157110317,0.266379862488
0.5,0.1,100,2000,1000,True,False,0.350946160806,0.138597283859,0.249790130081,0.246444524915,0.358029819561,0.145863696083,0.249073445799,0.250988987147
0.5,0.1,100,2000,1000,False,True,0.359319554323,0.143860188817,0.261610506403,0.254930083181,0.380933171178,0.159931524839,0.266106257439,0.268990317819
0.5,0.1,100,2000,1000,False,False,0.353962158675,0.138964975086,0.250230746888,0.24771929355,0.387945076796,0.1608368434,0.276704581184,0.275162167127
0.5,0.1,100,2000,1500,True,True,0.353419316259,0.139215721306,0.256241006532,0.249625348033,0.372871979247,0.149901221809,0.259107813617,0.260627004891
0.5,0.1,100,2000,1500,True,False,0.349742892656,0.139297058667,0.252639552478,0.247226501267,0.377385452579,0.147079506071,0.259660596378,0.261375185009
0.5,0.1,100,2000,1500,False,True,0.354588073897,0.140941269186,0.258009937689,0.251179760257,0.374083354328,0.152931524839,0.259826495534,0.262280458234
0.5,0.1,100,2000,1500,False,False,0.340474041946,0.129194402693,0.239390628048,0.236353024229,0.335518198481,0.132323737016,0.237152888244,0.23499827458
0.5,0.1,100,2000,2000,True,True,0.357101474407,0.143165602584,0.258878080381,0.253048385791,0.379419340181,0.159931524839,0.266743903097,0.268698256039
